year,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,a17,skylab,astp
1973-06,0,0,0,0,1,2,2,0,0,0,2,74,0
1973-07,0,0,1,1,0,3,1,0,0,0,1,38,3
1973-08,1,1,0,0,1,0,1,0,1,0,0,48,0
1973-09,0,0,0,0,0,2,0,0,0,1,0,49,3
1973-10,0,0,0,0,0,0,0,0,0,0,1,16,2
1973-11,0,2,0,1,1,1,0,1,0,0,1,65,1
1973-12,0,1,0,0,0,2,0,0,0,0,0,42,0
1974-01,0,0,0,0,1,3,0,1,0,0,0,41,0
1974-02,0,0,0,0,0,1,0,0,0,0,0,28,0
1974-03,0,1,0,0,0,0,0,0,0,0,1,2,0
1974-04,0,0,0,1,1,1,0,0,1,0,0,7,1
1974-05,1,0,0,0,3,0,0,0,0,1,0,1,0
1974-06,0,0,0,0,1,0,0,0,0,0,0,1,2
1974-07,0,0,0,0,6,0,0,1,0,0,0,6,2
1974-08,0,0,0,0,2,0,1,1,0,0,0,4,4
1974-09,0,0,0,0,0,0,0,0,0,0,0,2,4
1974-10,0,0,0,0,0,0,0,0,0,0,0,2,1
1974-11,0,0,0,0,0,1,0,1,1,0,0,1,2
1974-12,0,0,1,0,0,0,0,0,1,0,0,5,5
1975-01,0,0,0,0,0,0,0,0,0,0,0,0,1
1975-02,0,0,0,0,0,0,0,0,0,0,0,0,5
1975-03,0,0,0,0,0,0,0,0,0,0,0,0,2
1975-04,0,0,0,0,0,0,0,0,0,0,0,0,1
1975-05,0,0,0,0,0,0,0,0,0,0,0,0,5
1975-06,0,0,0,0,0,0,0,0,0,0,0,0,4
1975-07,0,0,0,0,0,0,0,0,0,0,0,0,57
1975-08,0,0,0,0,0,0,0,0,0,0,0,0,10
1975-09,0,0,0,0,0,0,0,0,0,0,0,0,5
1975-10,0,0,0,0,0,0,0,0,0,0,0,0,6
1975-11,0,0,0,0,0,0,0,0,0,0,0,0,3
1975-12,0,0,0,0,0,0,0,0,0,0,0,0,4
1976-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-02,0,0,0,0,0,0,0,0,0,0,0,0,1
1976-03,0,0,0,0,0,0,0,0,0,0,0,0,1
1976-04,0,0,0,0,0,0,0,0,0,0,0,0,1
1976-05,0,0,0,0,0,0,0,0,0,0,0,0,1
1976-06,0,0,0,0,0,0,0,0,0,0,0,0,1
1976-07,0,0,0,0,0,0,0,0,0,0,0,0,1
1976-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-10,0,0,0,0,0,0,0,0,0,0,0,0,2
1976-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-12,0,0,0,0,0,0,0,0,0,0,0,0,1
1977-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-12,0,0,0,0,0,0,0,0,0,0,0,0,0
